iter	Passed	Remaining
0	140	140567
1	141	70507
2	141	47120
3	142	35421
4	142	28403
5	143	23722
6	143	20378
7	144	17869
8	144	15922
9	145	14362
10	145	13088
11	146	12026
12	146	11126
13	147	10357
14	147	9688
15	148	9102
16	148	8585
17	148	8125
18	149	7713
19	149	7341
20	150	7012
21	150	6708
22	151	6429
23	151	6174
24	152	5939
25	152	5723
26	153	5522
27	153	5335
28	154	5162
29	154	5002
30	155	4850
31	155	4708
32	156	4574
33	156	4451
34	157	4332
35	157	4220
36	158	4114
37	158	4013
38	159	3918
39	159	3827
40	159	3741
41	160	3659
42	160	3581
43	161	3506
44	161	3434
45	162	3367
46	162	3302
47	163	3240
48	163	3180
49	164	3122
50	164	3066
51	165	3013
52	165	2961
53	166	2911
54	166	2863
55	167	2816
56	167	2772
57	168	2729
58	168	2688
59	169	2648
60	169	2609
61	169	2571
62	170	2534
63	170	2499
64	171	2464
65	171	2431
66	172	2398
67	172	2364
68	172	2333
69	173	2304
70	173	2275
71	174	2247
72	174	2219
73	175	2193
74	175	2167
75	176	2142
76	176	2117
77	177	2093
78	177	2070
79	178	2047
80	178	2024
81	178	2003
82	179	1981
83	179	1961
84	180	1939
85	180	1919
86	180	1899
87	181	1880
88	181	1862
89	182	1844
90	182	1827
91	183	1810
92	183	1793
93	184	1776
94	184	1760
95	185	1744
96	185	1728
97	186	1713
98	186	1698
99	187	1683
100	187	1669
101	187	1653
102	188	1639
103	188	1626
104	189	1612
105	189	1599
106	190	1586
107	190	1573
108	191	1561
109	191	1549
110	191	1536
111	192	1525
112	192	1513
113	193	1502
114	193	1490
115	194	1479
116	194	1468
117	195	1458
118	195	1446
119	195	1436
120	196	1426
121	196	1416
122	197	1405
123	197	1396
124	198	1387
125	198	1378
126	199	1369
127	199	1359
128	199	1350
129	200	1341
130	200	1332
131	201	1324
132	201	1316
133	202	1307
134	202	1299
135	203	1291
136	203	1283
137	204	1275
138	204	1267
139	205	1259
140	205	1252
141	206	1245
142	206	1237
143	206	1230
144	207	1223
145	207	1216
146	208	1209
147	208	1202
148	209	1195
149	209	1188
150	210	1182
151	210	1175
152	211	1169
153	211	1162
154	212	1156
155	212	1150
156	213	1144
157	213	1137
158	213	1131
159	214	1125
160	214	1119
161	215	1113
162	215	1108
163	216	1102
164	216	1096
165	217	1091
166	217	1085
167	218	1080
168	218	1074
169	219	1069
170	219	1064
171	220	1059
172	220	1054
173	220	1048
174	221	1043
175	221	1038
176	222	1033
177	222	1028
178	223	1023
179	223	1019
180	223	1013
181	224	1008
182	224	1003
183	225	999
184	225	994
185	226	990
186	226	985
187	227	981
188	227	976
189	228	972
190	228	967
191	228	963
192	229	959
